Identyfikator projektu,Nazwa projektu,Identyfikator podmiotu,Rodzaj projektu,Koszt,Data rozpoczęcia,Data zakończenia,Identyfikator projektu architektonicznego,
0,WODOCIĄGOWY-4045,56,GRZEWCZY,15520,02/12/2010,09/12/2010,87,
1,WODOCIĄGOWY-4475,34,ELEKTRYCZNY,81525,13/01/2010,19/01/2010,874,
2,WODOCIĄGOWY-7973,152,GRZEWCZY,88720,06/04/2010,12/04/2010,8385,
3,WODOCIĄGOWY-5477,159,PRZECIWGROMOWY,58975,06/02/2010,06/02/2010,1525,
4,WODOCIĄGOWY-2068,19,ELEKTRYCZNY,13275,11/05/2010,19/05/2010,8626,
5,WODOCIĄGOWY-61,106,GRZEWCZY,72400,20/06/2010,26/06/2010,8069,
6,WODOCIĄGOWY-2219,164,ELEKTRYCZNY,131100,27/12/2010,31/12/2010,4071,
7,WODOCIĄGOWY-6495,154,OGRODNICZY,39450,12/06/2010,16/06/2010,9848,
8,WODOCIĄGOWY-1352,139,PRZECIWGROMOWY,64085,17/01/2010,23/01/2010,7510,
9,WODOCIĄGOWY-1264,176,OGRODNICZY,37425,27/01/2010,27/01/2010,2387,
10,WODOCIĄGOWY-3166,197,OGRODNICZY,35400,04/01/2011,08/01/2011,2138,
11,WODOCIĄGOWY-9776,10,GRZEWCZY,26480,20/06/2010,28/06/2010,7209,
12,WODOCIĄGOWY-7992,8,WODOCIĄGOWY,25025,26/06/2010,01/07/2010,1202,
13,WODOCIĄGOWY-4241,42,PRZECIWGROMOWY,46515,02/11/2010,06/11/2010,4643,
14,WODOCIĄGOWY-3525,23,OGRODNICZY,47175,12/05/2010,16/05/2010,1659,
15,WODOCIĄGOWY-3533,5,ALARMOWY,86600,02/05/2010,07/05/2010,711,
16,WODOCIĄGOWY-988,188,OGRODNICZY,11375,03/05/2010,06/05/2010,5659,
17,WODOCIĄGOWY-5887,158,ELEKTRYCZNY,86400,08/10/2010,09/10/2010,7183,
18,WODOCIĄGOWY-6688,103,GRZEWCZY,62880,19/08/2010,27/08/2010,5138,
19,WODOCIĄGOWY-343,17,WODOCIĄGOWY,8800,19/11/2010,28/11/2010,4339,
20,WODOCIĄGOWY-3544,8,GRZEWCZY,53680,03/11/2010,05/11/2010,2713,
21,WODOCIĄGOWY-5322,153,PRZECIWGROMOWY,2555,16/03/2010,20/03/2010,5203,
22,WODOCIĄGOWY-8608,114,PRZECIWGROMOWY,39620,22/01/2010,30/01/2010,8913,
23,WODOCIĄGOWY-6493,53,PRZECIWGROMOWY,4830,19/02/2010,27/02/2010,1113,
24,WODOCIĄGOWY-9514,84,ALARMOWY,17350,29/08/2010,31/08/2010,1392,
25,WODOCIĄGOWY-9357,110,WODOCIĄGOWY,77550,22/01/2010,27/01/2010,1174,
26,WODOCIĄGOWY-5720,70,ALARMOWY,4200,19/07/2010,20/07/2010,2332,
27,WODOCIĄGOWY-7757,4,OGRODNICZY,34975,28/02/2010,02/03/2010,5244,
28,WODOCIĄGOWY-2474,6,GRZEWCZY,36560,24/10/2010,31/10/2010,5612,
29,WODOCIĄGOWY-8583,159,WODOCIĄGOWY,70840,30/11/2010,09/12/2010,546,
30,WODOCIĄGOWY-4987,187,GRZEWCZY,111520,15/10/2010,17/10/2010,3003,
31,WODOCIĄGOWY-8736,148,OGRODNICZY,9525,17/11/2010,21/11/2010,6316,
32,WODOCIĄGOWY-551,155,ALARMOWY,55750,19/12/2010,24/12/2010,244,
33,WODOCIĄGOWY-6328,92,ELEKTRYCZNY,48300,12/12/2010,17/12/2010,9652,
34,WODOCIĄGOWY-261,38,ELEKTRYCZNY,81900,09/07/2010,15/07/2010,1033,
35,WODOCIĄGOWY-8845,46,GRZEWCZY,60480,16/11/2010,20/11/2010,2586,
36,WODOCIĄGOWY-1284,30,GRZEWCZY,29440,28/06/2010,05/07/2010,2649,
37,WODOCIĄGOWY-4143,34,ELEKTRYCZNY,38475,10/11/2010,13/11/2010,6113,
38,WODOCIĄGOWY-7646,190,ELEKTRYCZNY,55425,30/12/2010,04/01/2011,4677,
39,WODOCIĄGOWY-3624,109,WODOCIĄGOWY,25190,12/08/2010,19/08/2010,1629,
40,WODOCIĄGOWY-5345,39,OGRODNICZY,32325,10/01/2010,17/01/2010,9320,
41,WODOCIĄGOWY-6485,149,PRZECIWGROMOWY,11760,21/02/2010,02/03/2010,744,
42,WODOCIĄGOWY-982,103,OGRODNICZY,22700,15/03/2010,20/03/2010,11,
43,WODOCIĄGOWY-7093,42,ALARMOWY,20250,18/07/2010,27/07/2010,7949,
44,WODOCIĄGOWY-8733,139,ALARMOWY,1550,23/09/2010,28/09/2010,4187,
45,WODOCIĄGOWY-4460,96,GRZEWCZY,48640,13/03/2010,16/03/2010,2313,
46,WODOCIĄGOWY-8796,127,WODOCIĄGOWY,89815,28/03/2010,05/04/2010,4618,
47,WODOCIĄGOWY-5764,66,GRZEWCZY,48240,21/07/2010,23/07/2010,7861,
48,WODOCIĄGOWY-1860,155,OGRODNICZY,1425,30/10/2010,04/11/2010,4116,
49,WODOCIĄGOWY-1670,22,PRZECIWGROMOWY,15190,19/05/2010,19/05/2010,7416,
50,WODOCIĄGOWY-5476,129,GRZEWCZY,41840,14/10/2010,22/10/2010,6072,
51,WODOCIĄGOWY-547,189,OGRODNICZY,10800,28/05/2010,05/06/2010,1648,
52,WODOCIĄGOWY-4017,176,WODOCIĄGOWY,2750,04/01/2010,08/01/2010,1617,
53,WODOCIĄGOWY-1042,16,ALARMOWY,28550,31/12/2010,31/12/2010,2865,
54,WODOCIĄGOWY-6503,70,WODOCIĄGOWY,63635,04/12/2010,05/12/2010,7417,
55,WODOCIĄGOWY-7075,121,ELEKTRYCZNY,37350,20/02/2010,25/02/2010,5528,
56,WODOCIĄGOWY-9672,101,WODOCIĄGOWY,61050,25/07/2010,02/08/2010,8702,
57,WODOCIĄGOWY-7914,20,ELEKTRYCZNY,97200,31/08/2010,01/09/2010,8631,
58,WODOCIĄGOWY-1388,177,OGRODNICZY,49925,10/09/2010,11/09/2010,8643,
59,WODOCIĄGOWY-710,100,ELEKTRYCZNY,118800,11/01/2010,18/01/2010,7429,
60,WODOCIĄGOWY-8655,150,ALARMOWY,69500,17/06/2010,26/06/2010,9838,
61,WODOCIĄGOWY-9633,81,PRZECIWGROMOWY,63980,15/09/2010,20/09/2010,451,
62,WODOCIĄGOWY-6673,155,ALARMOWY,56700,25/01/2010,31/01/2010,9608,
63,WODOCIĄGOWY-5255,125,OGRODNICZY,4900,20/09/2010,21/09/2010,7727,
64,WODOCIĄGOWY-53,55,ALARMOWY,30250,12/02/2010,17/02/2010,3660,
65,WODOCIĄGOWY-2574,138,ALARMOWY,3700,01/03/2010,06/03/2010,7590,
66,WODOCIĄGOWY-4494,10,ELEKTRYCZNY,40425,03/06/2010,03/06/2010,2132,
67,WODOCIĄGOWY-5059,56,PRZECIWGROMOWY,36155,24/04/2010,27/04/2010,9405,
68,WODOCIĄGOWY-3882,25,GRZEWCZY,149760,03/11/2010,10/11/2010,314,
69,WODOCIĄGOWY-3399,23,ALARMOWY,86600,06/12/2010,06/12/2010,5836,
70,WODOCIĄGOWY-9436,142,WODOCIĄGOWY,70510,18/02/2010,22/02/2010,2331,
71,WODOCIĄGOWY-9590,12,PRZECIWGROMOWY,40670,14/04/2010,20/04/2010,4712,
72,WODOCIĄGOWY-3167,124,GRZEWCZY,157360,14/12/2010,20/12/2010,1448,
73,WODOCIĄGOWY-3906,190,OGRODNICZY,22425,04/01/2010,07/01/2010,6103,
74,WODOCIĄGOWY-4081,136,ELEKTRYCZNY,75,09/09/2010,10/09/2010,7756,
75,WODOCIĄGOWY-1831,105,ALARMOWY,43350,19/10/2010,22/10/2010,4682,
76,WODOCIĄGOWY-714,47,ALARMOWY,75800,05/02/2010,12/02/2010,334,
77,WODOCIĄGOWY-6880,170,GRZEWCZY,113600,05/08/2010,06/08/2010,1288,
78,WODOCIĄGOWY-2489,151,WODOCIĄGOWY,50325,16/08/2010,19/08/2010,6022,
79,WODOCIĄGOWY-9047,76,ELEKTRYCZNY,19725,13/09/2010,19/09/2010,9862,
80,WODOCIĄGOWY-7042,132,WODOCIĄGOWY,69135,02/08/2010,04/08/2010,1100,
81,WODOCIĄGOWY-4272,92,ELEKTRYCZNY,65925,16/05/2010,25/05/2010,7149,
82,WODOCIĄGOWY-1833,172,OGRODNICZY,13125,01/05/2010,02/05/2010,5947,
83,WODOCIĄGOWY-4478,163,OGRODNICZY,48250,04/10/2010,07/10/2010,3932,
84,WODOCIĄGOWY-7797,115,OGRODNICZY,8225,30/06/2010,01/07/2010,5663,
85,WODOCIĄGOWY-5472,147,OGRODNICZY,24200,23/06/2010,23/06/2010,727,
